smooth_mode,aug_mode,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
F2,G1,1,6,278,556,31,20,56.31,0.267193,0.6303454715219421,0.761850546670281,0.7741935483870968,0.2857142857142857,0.7058823529411765,0.8571428571428571,0.9333333333333333,0.0,1.0
F2,G1,1,7,278,556,31,28,73.42,0.267524,0.6985084632143455,0.7671548354660309,0.7741935483870968,0.4444444444444444,0.8235294117647058,0.6666666666666666,0.9230769230769231,0.3333333333333333,1.0
F2,G1,1,8,278,556,31,50,120.51,0.266616,0.8338206627680312,0.8952084512356159,0.9032258064516129,0.5,0.8888888888888888,1.0,1.0,0.6666666666666666,0.9473684210526315
F2,G1,1,9,279,558,30,50,121.88,0.267994,0.8679738562091504,0.893202614379085,0.9,0.6666666666666666,0.8,1.0,1.0,0.8,0.9411764705882353
F2,G1,2,0,278,556,31,50,121.54,0.266616,0.8457516339869281,0.8643896268184693,0.8709677419354839,0.6666666666666666,0.6666666666666666,0.8,0.9411764705882353,1.0,1.0
F2,G1,2,1,278,556,31,25,66.8,0.267395,0.581679285626654,0.6463888403616757,0.6451612903225806,0.46153846153846156,0.5454545454545454,0.5,0.75,0.2857142857142857,0.9473684210526315
F2,G1,2,2,278,556,31,41,101.13,0.266618,0.6770647653000594,0.8108216893795642,0.8387096774193549,0.0,0.7272727272727273,0.6666666666666666,0.9411764705882353,0.7272727272727273,1.0
F2,G1,2,3,278,556,31,50,120.29,0.267193,0.8311355311355312,0.8394186458702587,0.8387096774193549,0.6153846153846154,0.8,1.0,1.0,0.5714285714285714,1.0
F2,G1,2,4,278,556,31,50,120.5,0.266906,0.9096866096866097,0.9012958367797077,0.9032258064516129,0.7692307692307693,0.8888888888888888,1.0,1.0,0.8,1.0
F2,G1,2,5,278,556,31,35,88.19,0.266237,0.7314814814814815,0.8405017921146954,0.8709677419354839,0.0,1.0,0.8888888888888888,1.0,0.5,1.0
F2,G1,2,6,278,556,31,50,120.88,0.267193,0.7686091686091686,0.915241747499812,0.9032258064516129,0.9090909090909091,0.7692307692307693,1.0,0.9333333333333333,0.0,1.0
F2,G1,2,7,278,556,31,50,120.76,0.267524,0.8291666666666666,0.8588709677419355,0.8709677419354839,0.6,0.875,1.0,1.0,0.5,1.0
F2,G1,2,8,278,556,31,50,120.37,0.266616,0.8610537782364408,0.862107038627562,0.8709677419354839,0.5,0.7777777777777778,1.0,0.9411764705882353,1.0,0.9473684210526315
F2,G1,2,9,279,558,30,44,107.4,0.267994,0.8679738562091504,0.893202614379085,0.9,0.6666666666666666,0.8,1.0,1.0,0.8,0.9411764705882353
F2,G2,0,0,278,654,31,37,105.83,0.266616,0.7587145969498911,0.7948555766392578,0.8064516129032258,0.4444444444444444,0.5,1.0,0.9411764705882353,0.6666666666666666,1.0
F2,G2,0,1,278,648,31,23,70.35,0.267395,0.6379517168990853,0.7034957119846763,0.7096774193548387,0.2222222222222222,0.7692307692307693,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.9473684210526315
