variant_key,coord_v,extractor_v,temporal_v,loss_v,norm_v,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,2,3,278,652,31,50,119.1,0.267232,0.7536907536907537,0.7699075118429957,0.7741935483870968,0.46153846153846156,0.7272727272727273,1.0,1.0,0.3333333333333333,1.0
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,2,4,278,648,31,50,118.51,0.266989,0.9385521885521886,0.9333659172368849,0.9354838709677419,0.8333333333333334,0.8888888888888888,1.0,1.0,0.9090909090909091,1.0
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,2,5,278,648,31,30,76.7,0.266073,0.7003914386267328,0.7866748684585497,0.8064516129032258,0.5,0.9230769230769231,0.5714285714285714,0.9333333333333333,0.3333333333333333,0.9411764705882353
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,2,6,278,654,31,50,122.13,0.267232,0.7417929292929294,0.8789100684261975,0.8709677419354839,0.9090909090909091,0.6666666666666666,1.0,0.875,0.0,1.0
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,2,7,278,652,31,24,66.87,0.267427,0.6694444444444446,0.7026881720430107,0.7419354838709677,0.0,0.75,1.0,0.9333333333333333,0.3333333333333333,1.0
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,2,8,278,658,31,50,126.34,0.266352,0.8338206627680312,0.8952084512356159,0.9032258064516129,0.5,0.8888888888888888,1.0,1.0,0.6666666666666666,0.9473684210526315
A2_B4_C1_D2_E2,A2,B4,C1,D2,E2,2,9,279,654,30,50,125.18,0.267656,0.8386724386724387,0.8662914862914862,0.8666666666666667,0.5714285714285714,0.7272727272727273,1.0,0.9333333333333333,0.8,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,0,278,654,31,37,115.99,0.266352,0.6481481481481481,0.7777777777777778,0.8064516129032258,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.0,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,1,278,648,31,36,105.61,0.267348,0.7282828282828283,0.7691104594330401,0.7741935483870968,0.4,0.7272727272727273,1.0,0.9090909090909091,0.3333333333333333,1.0
A2_B3_C2_D2_E2,A2,B3,C2,D2,E2,0,2,278,648,31,23,72.15,0.266545,0.7457516339869281,0.8385831752055661,0.8387096774193549,0.4,0.8,0.6666666666666666,0.9411764705882353,0.6666666666666666,1.0
